City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ridgecrest,35.6225,-117.6709,15.94,36,40,6.26,US,1670270812
1,hermanus,-34.4187,19.2345,14.33,64,100,1.42,ZA,1670270813
2,hobart,-42.8794,147.3294,11.81,69,75,5.66,AU,1670270407
3,castro,-24.7911,-50.0119,23.54,78,58,2.86,BR,1670270517
4,iqaluit,63.7506,-68.5145,-15.22,95,100,1.06,CA,1670270814
5,kruisfontein,-34.0033,24.7314,15.49,87,1,3.66,ZA,1670270814
6,ushuaia,-54.8,-68.3,9.79,49,40,10.29,AR,1670270805
7,kapaa,22.0752,-159.319,25.61,84,75,1.54,US,1670270720
8,kapit,2.0167,112.9333,22.72,99,99,0.25,MY,1670270815
9,muzhi,65.3667,64.6667,-16.9,97,77,2.22,RU,1670270816
10,saurimo,-9.6608,20.3916,17.59,97,70,1.25,AO,1670270816
11,treinta y tres,-33.2333,-54.3833,31.11,26,0,6.92,UY,1670270817
12,bredasdorp,-34.5322,20.0403,15.44,66,100,0.52,ZA,1670270817
13,port alfred,-33.5906,26.891,15.1,93,0,0.89,ZA,1670270818
14,vardo,70.3705,31.1107,-3.01,80,100,5.66,NO,1670270818
15,bolobo,-2.1667,16.2333,22.52,86,97,1.41,CD,1670270819
16,atuona,-9.8,-139.0333,25.25,75,92,7.37,PF,1670270803
17,cidreira,-30.1811,-50.2056,23.03,84,95,4.79,BR,1670270819
18,amapa,1.0,-52.0,24.31,86,100,0.72,BR,1670270820
19,vaini,-21.2,-175.2,27.09,83,75,4.12,TO,1670270820
20,butaritari,3.0707,172.7902,27.14,80,100,6.97,KI,1670270821
21,san juan de los morros,9.9115,-67.3538,27.48,57,85,1.2,VE,1670270821
22,sawtell,-30.3833,153.1,21.01,78,4,2.06,AU,1670270822
23,faya,18.3851,42.4509,12.29,82,3,1.5,SA,1670270822
24,rikitea,-23.1203,-134.9692,24.15,81,99,6.37,PF,1670270814
25,novo aripuana,-5.1206,-60.3797,29.12,70,96,0.56,BR,1670270823
26,mataura,-46.1927,168.8643,10.27,99,100,1.16,NZ,1670270824
27,bilma,18.6853,12.9164,23.99,18,2,2.19,NE,1670270824
28,nouadhibou,20.931,-17.0347,19.14,80,6,6.28,MR,1670270825
29,jamestown,42.097,-79.2353,7.8,31,0,4.63,US,1670270825
30,tura,25.5198,90.2201,15.89,85,0,1.38,IN,1670270825
31,juneau,58.3019,-134.4197,0.12,93,40,0.0,US,1670270826
32,charters towers,-20.1,146.2667,21.76,73,0,3.87,AU,1670270827
33,shimoda,34.6667,138.95,7.84,90,100,6.1,JP,1670270827
34,saint-philippe,-21.3585,55.7679,24.77,78,100,5.2,RE,1670270828
35,carnarvon,-24.8667,113.6333,20.55,77,58,7.46,AU,1670270828
36,matara,5.9485,80.5353,24.08,88,100,0.87,LK,1670270829
37,hilo,19.7297,-155.09,27.93,79,54,2.68,US,1670270637
38,the valley,18.217,-63.0578,27.92,69,20,4.63,AI,1670270829
39,saskylakh,71.9167,114.0833,-25.57,93,100,7.67,RU,1670270830
40,quepos,9.4236,-84.1652,26.76,75,51,2.41,CR,1670270770
41,pervomayskiy,53.2485,40.2871,-8.04,56,73,2.62,RU,1670270831
42,norman wells,65.282,-126.8329,-31.62,93,17,4.37,CA,1670270743
43,rapu-rapu,13.1866,124.1256,27.27,75,100,5.55,PH,1670270832
44,whitehorse,60.7161,-135.0538,-5.43,96,75,0.75,CA,1670270832
45,rabak,13.1809,32.74,27.87,31,18,4.96,SD,1670270832
46,laguna,38.421,-121.4238,15.16,73,75,4.63,US,1670270833
